"","Drone4_1","Drone4_2","Drone4_3","Drone4_4","Drone4_5","Drone4_6","Queen4_1","Queen4_2","Queen4_3","Queen4_4","Queen4_5","Queen4_6","Worker4_1","Worker4_2","Worker4_3","Worker4_4","Worker4_5","Worker4_6"
"LOC724946",7.34070468006655,8.18621825843837,6.43110475328433,7.07297398671924,8.0897364758313,7.15088457130503,5.51985637480243,5.13270021496382,5.08248971139669,5.24393560156686,4.78156954481597,4.68234856099057,4.5414528879828,3.84207372176819,4.24891428303624,4.290866699625,4.33349529420441,4.16992500144231
"LOC113218965",1.85279789281877,2.8569856897822,1.32365829102624,2.3790663992809,2.94410879910795,2.18237448827581,1.19849415363908,1.36120689023873,1.21536797220348,0.656267534794289,1.17120682741814,1.20351441113076,0.0922074380970889,1.17759892932773,0.608809242675524,1.00934717225925,1.42492208821069,0.445726703349984
"LOC113218992",0.366252263699564,0.657182660128423,0.434027674663597,0.874993638932967,0.845590408847855,0.763836458890951,0.254594043033141,0.434027674663597,0.233888060174277,0.185232254230161,0.359521170427595,0.207892851641333,0.0593552776164212,0.284514133244245,0.250961573533219,0.374065718222538,0.244887059123534,0.830255324167683
"LOC726743",0.570462931026041,0.429749850800216,0.753604536279995,0.473007567916174,0.524063675777211,0.541019153133559,1.30859386858428,0.992768430768924,0.851199338593294,0.532067552289031,0.734655433479005,0.651683180632109,0.250961573533219,0.412510571249805,0.519038609600059,0.401630466584741,0.508935661864395,0.591679416935737
"LOC413215",1.53206755228903,1.16285452819051,1.58784500925428,2.04369446122598,1.87578006306849,1.62058641045188,1.02431967919541,1.62713987096555,1.02786177535451,0.859969548221026,1.2732174731035,1.1243281350022,1.53953107147415,1.36904764345591,1.48542682717024,2.42545930476536,1.89452677025739,2.25217341320203
"LOC726737",1.81064874778265,1.76383645889095,1.08814159686902,2.13422093976063,1.8261925362366,2.04823618565285,2.70597790168252,2.45022149589718,2.44705015545719,2.58952381673924,2.72202877790284,2.33771109212829,0.726831217032493,1.04334450487717,1.3790663992809,0.413594082409175,0.272620454662992,0.496717987935177
"LOC724796",1.45733162548501,1.10232219119669,1.43562859405209,1.31672502157875,1.41899946543127,1.27619886503224,0.421155960662223,0.565597175854225,0.271425676092934,0.146655222119465,0.261831658752137,0.0854246562526777,0.258217389536018,0.423309237242387,0.415758666522498,0.366252263699564,0.521050736900963,0.516015147003665
"LOC410063",6.05907401466356,4.70365445351296,4.88327867323573,5.25949847900332,4.09119205151613,4.37302172437071,3.5215533305451,4.16027483140859,2.58808495853398,2.92276872291713,3.19786539135374,3.06333036080695,1.61022758954469,1.76807843501646,1.99494171017697,3.06591691807821,2.51777960346301,2.06660588420444
"LOC102654588",2.15055967657538,2.57990421089813,2.11036324336042,2.41006969175638,2.78972925137577,2.30158764660319,1.3533232911629,2.02750795682646,1.1833277060448,1.69821847822441,1.49927188316909,0.608809242675524,1.54151483946068,2.00755433613827,1.59311469648462,1.22650852980868,0.959770155211467,1.39615948907315
"LOC409204",0.932061171343424,1.10567807789454,0.485426827170242,0.560714954474479,0.665392771041891,1.0703893278914,1.28865386360517,1.26303440583379,1.82741257439886,1.24123003551545,1.43028527297778,1.34653146202802,0.998556583130331,0.845590408847855,0.734655433479005,0.669933835668961,0.720716242521131,0.543000877402426
"LOC107965094",4.1569628393229,3.58748501048987,3.60050764534579,3.43975609871484,3.66163560233596,3.92076967302065,4.39183644426426,4.6575256825293,4.65168318063211,3.64131480943146,4.79882817809111,4.88942486778825,3.50322150777284,3.32308178950373,3.93054811924785,3.66550647203426,3.1811025507538,3.8972404255748
"LOC724148",1.11902410314227,0.7311832415722,0.857582955384148,0.851199338593294,0.594548549550354,0.58111017522555,0.665392771041891,0.839153387389821,0.873419503434857,0.167357927738514,0.880489626687819,0.503857532577429,0.882838655767251,1.05519565424213,1.34426039498542,1.76426121821711,1.49364733397521,1.41629930547988
"LOC102654214",1.17951105027151,0.800744623936778,0.876566058751721,0.913798964950696,0.552868871011303,0.689746438493556,0.851998837112446,0.405992359675837,0.316145742293356,0.465713319595964,0.211635253327149,0,1.18650055764449,1.59502618406585,1.57676397767313,0.497740088609093,0.471967787661516,1.10165007609443
"LOC102656571",2.76956018487692,1.68929916053589,2.04229412620617,2.9780125349367,2.1586601753465,3.59526494203758,0.724213686757358,1.41196851036013,0.619178216059069,0.747602230274943,0.619178216059069,0.573374526445944,1.70310069960416,1.74803179557241,1.88752527074159,2.13914201914569,1.98185265328974,1.7982579326445
